,Vx_alpha,Vx_beta,Vx_gamma,Vy_alpha,Vy_beta,Vy_gamma,Vz_alpha,Vz_beta,Vz_gamma,stationarity,noise_type
53,-0.3657728,-0.5889375,0.0021996119,0.5897825,-0.53935087,-0.069481425,0.058360707,-0.036393814,0.66382295,1,2
54,-0.39698836,0.77479404,0.09007668,-0.7775504,-0.32086468,-0.0063493378,0.026651178,-0.081496745,0.7381121,0,0
55,-0.0028620684,0.7173665,0.041623134,-0.8453705,-0.005809771,0.015709002,0.009740933,-0.039307598,0.6316396,1,0
56,-0.45495412,0.7882116,0.10761023,-0.78995025,-0.39837977,-0.015533015,0.03401064,-0.09942899,0.81315863,0,1
57,-0.028846456,0.79807913,0.046398927,-0.8843548,-0.014828027,0.02611007,0.01643667,-0.0402373,0.72697425,1,1
58,-0.60516953,-0.23407188,0.0031546599,0.23640081,-0.6703887,-0.03123317,0.009748957,-0.018302204,0.591216,0,2
59,-0.40624234,-0.45363754,0.008276856,0.4575018,-0.58612883,-0.06130986,0.049549762,-0.0427002,0.58841825,1,2
60,-0.44077793,0.7503627,0.08354258,-0.7637781,-0.38333923,-0.013937057,0.023216378,-0.07947067,0.75196934,0,0
61,-0.27866006,0.70246655,0.03860831,-0.8377591,-0.25187847,-0.0028244897,0.005909136,-0.042684484,0.67850184,1,0
62,-0.49240926,0.7649361,0.111581646,-0.7752586,-0.44179884,-0.029379116,0.02705623,-0.10880423,0.8197476,0,1
63,-0.2884253,0.77559537,0.058852024,-0.8673794,-0.2527215,-0.0019086858,0.011076424,-0.055459492,0.76037896,1,1
64,-0.53777355,-0.06989183,0.033960897,0.07183708,-0.58958966,-0.03115065,0.033923373,-0.04250098,0.48440713,0,2
65,-0.37257835,-0.2607199,0.012657712,0.27160895,-0.5801481,-0.035343744,0.02960993,-0.024311548,0.4777208,1,2
66,-0.31053346,0.80563223,0.084552206,-0.8021488,-0.2307251,0.018586397,0.03859634,-0.068876594,0.7254741,0,0
67,0.59785634,-0.2548523,-0.053158846,0.17103077,0.6043187,0.035477374,0.020476865,-0.03650324,0.5025012,1,0
68,-0.3859089,0.8124177,0.10834241,-0.82188874,-0.3258607,-0.0044332114,0.034066584,-0.09910059,0.8002593,0,1
69,0.69757277,-0.19652112,-0.037353296,0.12590495,0.70725554,0.060186636,0.013270291,-0.04993964,0.59080434,1,1
70,-0.5925873,-0.424313,0.0095947385,0.42682955,-0.6591269,-0.049704753,0.031465847,-0.042231042,0.6863837,0,2
71,-0.38105965,-0.5949369,-0.013822085,0.5927268,-0.53911686,-0.06113988,0.036580138,-0.051660053,0.6828135,1,2
72,-0.3097549,0.8053006,0.098625846,-0.8067185,-0.22039695,0.014384966,0.03495851,-0.08386682,0.72591937,0,0
73,0.22939521,-0.48158625,-0.0182446,0.6141364,0.23007195,0.038639277,-0.026281815,-0.04334733,0.48596114,1,0
74,-0.37937495,0.81639093,0.1086299,-0.82276225,-0.3218478,-0.012900597,0.025052933,-0.10154508,0.8008586,0,1
75,0.35717702,-0.53415215,-0.025220597,0.6233609,0.36408716,0.04374499,-0.030122671,-0.041990656,0.5538494,1,1
76,-0.5906069,-0.14966062,0.024040356,0.15640962,-0.6094232,-0.05933994,0.037036587,-0.05362891,0.5346832,0,2
77,-0.4170373,-0.3748752,0.015793093,0.3713739,-0.58450943,-0.044378147,0.043889094,-0.039427973,0.54029244,1,2
78,-0.32104486,0.8049541,0.0818935,-0.8023687,-0.2397436,0.028970907,0.045280185,-0.06793531,0.7300559,0,0
