Noise_Type,Vx_alpha,Vx_beta,Vx_gamma,Vy_alpha,Vy_beta,Vy_gamma,Vz_alpha,Vz_beta,Vz_gamma
130,-0.52152306,0.74124503,0.09386338,-0.74515337,-0.4796285,0.001331034,0.049428046,-0.0761259,0.81084216
150,-0.53375125,0.7290646,0.10345192,-0.73212475,-0.4925166,-0.021051006,0.03668812,-0.09658913,0.8046674
170,-0.5730445,0.70025384,0.08120441,-0.7080471,-0.5308777,-0.01988791,0.031132272,-0.07529033,0.80837953
190,-0.5960946,0.6811562,0.091096915,-0.6848316,-0.56060183,-0.028750585,0.033407465,-0.0897206,0.80806863
210,-0.62268937,0.6528102,0.10148604,-0.6618694,-0.5878685,-0.040910188,0.033322453,-0.102102995,0.8053206
230,-0.6447629,0.62689346,0.10585372,-0.6378137,-0.61868316,-0.01996369,0.05376672,-0.08998876,0.8076613
