Noise Strength,Vx_alpha,Vx_beta,Vx_gamma,Vy_alpha,Vy_beta,Vy_gamma,Vz_alpha,Vz_beta,Vz_gamma
0.25,0.547163,-0.7086356,-0.029265242,0.7119618,0.36768377,-0.025145056,0.028945126,-0.010092539,0.7983907
0.5,0.0019314609,-0.49687275,-0.008169931,0.510457,-0.31721985,-0.04657037,0.033242144,-0.017445127,0.4813183
0.75,-0.07788616,-0.14778146,0.009395241,0.15992829,-0.31045717,-0.025008898,0.022254918,-0.026599284,0.28969288
1.0,-0.017996026,-0.039396536,0.0025052358,0.051099777,-0.15319835,-0.00023887647,0.008818948,-0.027342975,0.20065393
1.25,0.014951908,-0.02475938,-0.01275456,0.02976915,-0.07108794,0.0025444739,-0.0002875271,-0.023227282,0.15140326
1.5,0.026677383,-0.032902054,-0.010334086,0.035907168,-0.03305919,-0.021584844,0.0058826883,-0.009510599,0.12870815
1.75,0.016696932,-0.029756432,0.0058698216,0.041811135,-0.037803188,-0.013287268,0.003925344,-0.011654647,0.112235315
