Noise_Type,Vx_alpha,Vx_beta,Vx_gamma,Vy_alpha,Vy_beta,Vy_gamma,Vz_alpha,Vz_beta,Vz_gamma
one_on_f_noise,-0.37814748,0.7855915,0.088531576,-0.788356,-0.31156564,0.018025944,0.0457926,-0.07120268,0.7457182
one_on_f_noise_ns,-0.4109778,0.7456375,0.08121837,-0.75548047,-0.28424385,-0.0033810823,0.020561982,-0.075121924,0.69133586
one_on_f_noise_w_bump,-0.43444595,0.79503447,0.08634605,-0.8025152,-0.38027883,-0.0045268447,0.028942255,-0.07657627,0.81165695
one_on_f_noise_w_bump_ns,-0.41920692,0.790248,0.08840964,-0.79222614,-0.33722585,-0.021268364,0.01311926,-0.08735279,0.7771443
coloured_noise,-0.08086202,0.03174702,0.008710863,-0.030855631,-0.07465066,-0.001561843,0.005675338,-0.009758424,0.13855568
coloured_noise_ns,-0.02714319,-0.049117308,-0.012816241,0.09322874,-0.18049498,-0.041959748,-0.0046863738,-0.015324681,0.21717577
